id,name,artist,played
1,渡る者の途絶えた橋,上海アリス幻樂団,233
2,月まで届け、不死の煙,上海アリス幻樂団,233
9,U.N.オーエンは彼女なのか,上海アリス幻樂団,189
4,地霊達の起床,上海アリス幻樂団,185
7,Sakura Reflection,Ryu☆,155
12,ハルトマンの妖怪少女,上海アリス幻樂団,148
5,虎柄の毘沙門天,上海アリス幻樂団,141
13,ナイト・オブ・ナイツ,上海アリス幻樂団,141
18,Bad Apple!!,Alstroemeria Records Feat. Nomico,117
14,厄神様の通り道 ～ Dark Road,上海アリス幻樂団,115
10,竹取飛翔 〜 Lunatic Princess,上海アリス幻樂団,108
11,Battle of Rose,光宗信吉,107
3,Sis puella magica!,梶浦由記,106
6,宿敵,光宗信吉,98
8,【東方自作アレンジ】竹取飛翔～Lunatic Princess,珠晞,87
17,Flower Dance,DJ OKAWARI,84
15,→unfinished→,KOTOKO,71
16,Broken,dj TAKA feat.AiMEE,67
